circuit_id,n_qubits,depth,gate_count,fidelity,expressibility_distance,normalized_expressibility,execution_time,backend,entropy,zero_state_probability,concentration,measured_states,measurement_variance,measurement_std,top_1_probability,top_5_probability,top_10_probability,total_measurements,struct_n_qubits,struct_depth,struct_total_gates,struct_cnot_count,struct_single_qubit_gates,struct_unique_gate_types,struct_cnot_connections,struct_gate_counts,struct_coupling_density,struct_max_degree,struct_avg_degree,struct_connectivity_ratio,struct_diameter,struct_clustering_coefficient,param_param_count,param_param_mean,param_param_std,param_param_min,param_param_max,hw_original_depth,hw_transpiled_depth,hw_original_gate_count,hw_transpiled_gate_count,hw_gate_overhead,hw_depth_overhead,seq_sequence_length,seq_unique_gates_in_sequence,seq_param_gate_ratio,seq_two_qubit_gate_ratio
22,30,1,12,0.421875,2.4825821940074078,2.3120848406175224e-09,0.33256202379862465,ibm_mega_job,3.379435810296722,0.421875,0.421875,36,87.63580246913578,9.361399599906832,0.421875,0.71875,0.796875,128,30,1,12,0,12,5,0,"{'RZ': 3, 'S': 1, 'Y': 4, 'H': 2, 'T': 2}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,3,1.9199262784548001,0.9416165818119545,1.0048881497185014,3.215294731397008,1,7,12,71,5.916666666666667,7.0,12,5,0.03,0.0
23,30,1,17,0.3671875,2.4901735133579317,2.3191548076997806e-09,0.33256202379862465,ibm_mega_job,3.9399386739681796,0.3671875,0.3671875,47,50.58306926210953,7.112177533084332,0.3671875,0.640625,0.7109375,128,30,1,17,0,17,6,0,"{'T': 4, 'X': 7, 'S': 1, 'H': 1, 'RZ': 3, 'Y': 1}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,3,3.3167651112898615,1.6377927608714375,1.0799588690304096,4.955813089578659,1,7,17,71,4.176470588235294,7.0,17,6,0.03,0.0
24,30,1,17,0.40625,2.4895690480098582,2.318591855475547e-09,0.33256202379862465,ibm_mega_job,3.5857339070311105,0.40625,0.40625,38,74.70637119113579,8.643284745461981,0.40625,0.671875,0.7734375,128,30,1,17,0,17,6,0,"{'S': 4, 'Y': 3, 'X': 3, 'RZ': 2, 'H': 2, 'T': 3}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,2,2.4271771278782843,1.5821655807332624,0.8450115471450218,4.0093427086115465,1,7,17,79,4.647058823529412,7.0,17,6,0.02,0.0
25,30,1,15,0.3515625,2.472541673270153,2.3027338769940222e-09,0.33256202379862465,ibm_mega_job,4.0220188082967825,0.3515625,0.3515625,45,48.62024691358023,6.972822019353443,0.3515625,0.609375,0.6875,128,30,1,15,0,15,6,0,"{'Y': 5, 'RZ': 3, 'S': 1, 'X': 1, 'H': 3, 'T': 2}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,3,3.322348485121155,2.219643638818923,0.8171593180198078,6.213005110476872,1,7,15,83,5.533333333333333,7.0,15,6,0.03,0.0
26,30,1,14,0.421875,2.4644157278771344,2.2951660006094113e-09,0.33256202379862465,ibm_mega_job,3.9355635201433583,0.421875,0.421875,46,60.60491493383743,7.784915859136657,0.421875,0.59375,0.6953125,128,30,1,14,0,14,6,0,"{'RZ': 4, 'Y': 1, 'H': 3, 'S': 1, 'T': 3, 'X': 2}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,4,1.7282172405298848,0.9447108674779888,0.1928948596639684,2.708597151406242,1,7,14,73,5.214285714285714,7.0,14,6,0.04,0.0
27,30,1,18,0.390625,2.4815893756204215,2.3111602064412287e-09,0.33256202379862465,ibm_mega_job,3.7801147401452715,0.390625,0.390625,41,62.64366448542535,7.9147750748473795,0.390625,0.640625,0.75,128,30,1,18,0,18,6,0,"{'X': 5, 'S': 1, 'RZ': 6, 'Y': 3, 'H': 2, 'T': 1}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,6,3.222448405624116,1.5489320925198746,1.7225876586012807,6.140386371855888,1,7,18,81,4.5,7.0,18,6,0.06,0.0
28,30,1,15,0.4375,2.468514740442912,2.2989835035455527e-09,0.33256202379862465,ibm_mega_job,3.6846063135159604,0.4375,0.4375,40,75.36,8.681013765684282,0.4375,0.640625,0.7421875,128,30,1,15,0,15,6,0,"{'X': 2, 'T': 4, 'S': 5, 'RZ': 1, 'Y': 2, 'H': 1}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,1,5.750213908734778,0.0,5.750213908734778,5.750213908734778,1,7,15,69,4.6,7.0,15,6,0.01,0.0
29,30,1,17,0.421875,2.468397283237583,2.2988741129986785e-09,0.33256202379862465,ibm_mega_job,3.617367771374596,0.421875,0.421875,40,75.06,8.663717446916191,0.421875,0.6484375,0.7421875,128,30,1,17,0,17,6,0,"{'Y': 3, 'RZ': 3, 'T': 2, 'S': 5, 'X': 1, 'H': 3}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,3,4.365480794960331,1.7879540421198505,1.8975071357717266,6.07591174327421,1,7,17,83,4.882352941176471,7.0,17,6,0.03,0.0
30,30,2,31,0.0,3.116616178868303,2.9025750037918826e-09,0.33256202379862465,ibm_mega_job,6.968749981822044,0.0,0.015625,126,0.015621063240110858,0.12498425196844144,0.015625,0.0546875,0.09375,128,30,2,31,8,23,7,8,"{'H': 4, 'T': 8, 'S': 6, 'Y': 1, 'X': 2, 'RZ': 2, 'CNOT': 8}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,2,1.2809563671971185,0.8015401725366612,0.4794161946604573,2.08249653973378,2,205,31,853,27.516129032258064,102.5,31,7,0.02,0.08
31,30,2,32,0.0,3.2087049473357783,2.9883393527341804e-09,0.33256202379862465,ibm_mega_job,6.9843749816777745,0.0,0.015625,127,0.00781201562403125,0.08838560756158917,0.015625,0.046875,0.0859375,128,30,2,32,8,24,7,8,"{'H': 4, 'T': 7, 'Y': 4, 'S': 4, 'RZ': 1, 'X': 4, 'CNOT': 8}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,1,5.349501163914163,0.0,5.349501163914163,5.349501163914163,2,179,32,1110,34.6875,89.5,32,7,0.01,0.08
32,30,2,31,0.09375,2.63780530511342,2.4566476280925982e-09,0.33256202379862465,ibm_mega_job,5.841511505187989,0.09375,0.1015625,83,3.7181013209464364,1.9282378797613215,0.1015625,0.3125,0.40625,128,30,2,31,8,23,7,8,"{'S': 6, 'X': 5, 'H': 3, 'RZ': 2, 'T': 3, 'Y': 4, 'CNOT': 8}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,2,3.031270843778466,1.175174199290674,1.856096644487792,4.20644504306914,2,97,31,783,25.258064516129032,48.5,31,7,0.02,0.08
33,30,2,28,0.0546875,2.5996946861194177,2.4211543482909144e-09,0.33256202379862465,ibm_mega_job,5.970790715374894,0.0546875,0.1171875,86,3.0638182801514344,1.7503766109473224,0.1171875,0.2734375,0.3671875,128,30,2,28,3,25,7,3,"{'X': 4, 'H': 3, 'Y': 9, 'RZ': 3, 'T': 4, 'S': 2, 'CNOT': 3}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,3,1.90769874161603,1.5740965579194162,0.08713282751807075,3.927407124189018,2,81,28,501,17.892857142857142,40.5,28,7,0.03,0.03
34,30,2,26,0.0078125,2.7252036063365086,2.538043639004704e-09,0.33256202379862465,ibm_mega_job,6.68543230800986,0.0078125,0.046875,112,0.3724489795918367,0.6102859818083951,0.046875,0.1328125,0.203125,128,30,2,26,8,18,6,8,"{'H': 5, 'X': 4, 'Y': 4, 'S': 3, 'T': 2, 'CNOT': 8}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,0,0.0,0.0,0.0,0.0,2,157,26,838,32.23076923076923,78.5,26,6,0.0,0.08
35,30,2,24,0.0,2.817427136454832,2.623933494514629e-09,0.33256202379862465,ibm_mega_job,6.722579866764781,0.0,0.0234375,111,0.16573330086843607,0.4071035505475678,0.0234375,0.09375,0.171875,128,30,2,24,6,18,7,6,"{'T': 6, 'S': 3, 'H': 1, 'Y': 3, 'X': 3, 'RZ': 2, 'CNOT': 6}",0.11264367816091954,4,3.2666666666666666,1.0,9,0.0,2,5.006069550421314,1.040000369500589,3.966069180920725,6.046069919921903,2,103,24,647,26.958333333333332,51.5,24,7,0.02,0.06
