circuit_id,config_group,n_qubits,depth,two_qubit_ratio_target,zero_state_prob,robust_fidelity,expressibility_score,expressibility_entropy
45,q5_d14_r10,5,14,0.1,0.6171875,0.6171875,,
46,q5_d14_r30,5,14,0.3,0.765625,0.765625,,
47,q5_d14_r50,5,14,0.5,0.6328125,0.6328125,,
48,q5_d14_r70,5,14,0.7,0.78125,0.78125,,
49,q5_d14_r90,5,14,0.9,0.5234375,0.5234375,,
50,q5_d15_r10,5,15,0.1,0.6484375,0.6484375,,
51,q5_d15_r30,5,15,0.3,0.75,0.75,,
52,q5_d15_r50,5,15,0.5,0.140625,0.140625,,
53,q5_d15_r70,5,15,0.7,0.7109375,0.7109375,,
54,q5_d15_r90,5,15,0.9,0.15625,0.15625,,
55,q5_d16_r10,5,16,0.1,0.6796875,0.6796875,,
56,q5_d16_r30,5,16,0.3,0.65625,0.65625,,
57,q5_d16_r50,5,16,0.5,0.75,0.75,,
58,q5_d16_r70,5,16,0.7,0.46875,0.46875,,
59,q5_d16_r90,5,16,0.9,0.3828125,0.3828125,,
60,q5_d17_r10,5,17,0.1,0.8984375,0.8984375,,
61,q5_d17_r30,5,17,0.3,0.4921875,0.4921875,,
62,q5_d17_r50,5,17,0.5,0.40625,0.40625,,
63,q5_d17_r70,5,17,0.7,0.125,0.125,,
64,q5_d17_r90,5,17,0.9,0.3046875,0.3046875,,
65,q5_d18_r10,5,18,0.1,0.7578125,0.7578125,,
66,q5_d18_r30,5,18,0.3,0.8515625,0.8515625,,
67,q5_d18_r50,5,18,0.5,0.4453125,0.4453125,,
68,q5_d18_r70,5,18,0.7,0.4375,0.4375,,
69,q5_d18_r90,5,18,0.9,0.03125,0.03125,,
70,q5_d19_r10,5,19,0.1,0.65625,0.65625,,
71,q5_d19_r30,5,19,0.3,0.1171875,0.1171875,,
72,q5_d19_r50,5,19,0.5,0.09375,0.09375,,
73,q5_d19_r70,5,19,0.7,0.1015625,0.1015625,,
74,q5_d19_r90,5,19,0.9,0.28125,0.28125,,
75,q5_d20_r10,5,20,0.1,0.890625,0.890625,,
76,q5_d20_r30,5,20,0.3,0.7109375,0.7109375,,
77,q5_d20_r50,5,20,0.5,0.6171875,0.6171875,,
78,q5_d20_r70,5,20,0.7,0.4296875,0.4296875,,
79,q5_d20_r90,5,20,0.9,0.21875,0.21875,,
80,q10_d5_r10,10,5,0.1,0.953125,0.9921875,,
81,q10_d5_r30,10,5,0.3,0.8125,0.953125,,
82,q10_d5_r50,10,5,0.5,0.796875,0.9296875,,
83,q10_d5_r70,10,5,0.7,0.703125,0.890625,,
84,q10_d5_r90,10,5,0.9,0.7265625,0.9453125,,
85,q10_d6_r10,10,6,0.1,0.4609375,0.875,,
86,q10_d6_r30,10,6,0.3,0.84375,0.96875,,
87,q10_d6_r50,10,6,0.5,0.7890625,0.9296875,,
88,q10_d6_r70,10,6,0.7,0.765625,0.9140625,,
89,q10_d6_r90,10,6,0.9,0.734375,0.9296875,,
90,q10_d7_r10,10,7,0.1,0.8203125,0.9765625,,
91,q10_d7_r30,10,7,0.3,0.3125,0.8515625,,
92,q10_d7_r50,10,7,0.5,0.625,0.8984375,,
93,q10_d7_r70,10,7,0.7,0.59375,0.90625,,
94,q10_d7_r90,10,7,0.9,0.34375,0.6953125,,
95,q10_d8_r10,10,8,0.1,0.9453125,0.9921875,,
96,q10_d8_r30,10,8,0.3,0.125,0.578125,,
97,q10_d8_r50,10,8,0.5,0.4140625,0.765625,,
98,q10_d8_r70,10,8,0.7,0.0234375,0.171875,,
99,q10_d8_r90,10,8,0.9,0.2890625,0.578125,,
100,q10_d9_r10,10,9,0.1,0.8203125,0.9609375,,
101,q10_d9_r30,10,9,0.3,0.7109375,0.8671875,,
102,q10_d9_r50,10,9,0.5,0.6015625,0.890625,,
103,q10_d9_r70,10,9,0.7,0.46875,0.828125,,
104,q10_d9_r90,10,9,0.9,0.03125,0.0859375,,
105,q10_d10_r10,10,10,0.1,0.9453125,1.0,,
106,q10_d10_r30,10,10,0.3,0.6484375,0.765625,,
107,q10_d10_r50,10,10,0.5,0.6015625,0.8515625,,
108,q10_d10_r70,10,10,0.7,0.1171875,0.46875,,
109,q10_d10_r90,10,10,0.9,0.2421875,0.5234375,,
110,q10_d11_r10,10,11,0.1,0.515625,0.875,,
111,q10_d11_r30,10,11,0.3,0.140625,0.3515625,,
112,q10_d11_r50,10,11,0.5,0.0625,0.265625,,
113,q10_d11_r70,10,11,0.7,0.0,0.125,,
114,q10_d11_r90,10,11,0.9,0.0078125,0.1015625,,
115,q10_d12_r10,10,12,0.1,0.828125,0.953125,,
116,q10_d12_r30,10,12,0.3,0.1640625,0.4140625,,
117,q10_d12_r50,10,12,0.5,0.0078125,0.0546875,,
118,q10_d12_r70,10,12,0.7,0.1640625,0.4921875,,
119,q10_d12_r90,10,12,0.9,0.1484375,0.546875,,
120,q10_d13_r10,10,13,0.1,0.5546875,0.890625,,
121,q10_d13_r30,10,13,0.3,0.0703125,0.203125,,
122,q10_d13_r50,10,13,0.5,0.203125,0.3828125,,
123,q10_d13_r70,10,13,0.7,0.0390625,0.0625,,
124,q10_d13_r90,10,13,0.9,0.015625,0.0703125,,
125,q10_d14_r10,10,14,0.1,0.203125,0.515625,,
126,q10_d14_r30,10,14,0.3,0.0859375,0.2890625,,
127,q10_d14_r50,10,14,0.5,0.265625,0.4296875,,
128,q10_d14_r70,10,14,0.7,0.03125,0.1640625,,
129,q10_d14_r90,10,14,0.9,0.15625,0.34375,,
