,,,zero_state_prob,zero_state_prob,zero_state_prob,robust_fidelity,robust_fidelity,expressibility_score,expressibility_score,expressibility_entropy,expressibility_entropy
,,,mean,std,count,mean,std,mean,std,mean,std
n_qubits,depth,two_qubit_ratio_target,,,,,,,,,
15,18,0.5,0.0,,1,0.0,,,,,
15,18,0.7,0.0,,1,0.0,,,,,
15,18,0.9,0.0,,1,0.015625,,,,,
15,19,0.1,0.59375,,1,0.9296875,,,,,
15,19,0.3,0.0,,1,0.0,,,,,
15,19,0.5,0.0,,1,0.0,,,,,
15,19,0.7,0.0,,1,0.0078125,,,,,
15,19,0.9,0.0,,1,0.0,,,,,
15,20,0.1,0.3984375,,1,0.90625,,,,,
15,20,0.3,0.0,,1,0.015625,,,,,
15,20,0.5,0.0,,1,0.0,,,,,
15,20,0.7,0.0,,1,0.0,,,,,
15,20,0.9,0.0,,1,0.0078125,,,,,
20,5,0.1,0.9296875,,1,1.0,,,,,
20,5,0.3,0.2109375,,1,0.734375,,,,,
20,5,0.5,0.4921875,,1,0.9375,,,,,
20,5,0.7,0.3203125,,1,0.8359375,,,,,
20,5,0.9,0.0546875,,1,0.3515625,,,,,
20,6,0.1,0.8828125,,1,1.0,,,,,
20,6,0.3,0.3203125,,1,0.875,,,,,
20,6,0.5,0.5703125,,1,0.9375,,,,,
20,6,0.7,0.359375,,1,0.875,,,,,
20,6,0.9,0.015625,,1,0.2421875,,,,,
20,7,0.1,0.546875,,1,0.9375,,,,,
20,7,0.3,0.390625,,1,0.921875,,,,,
20,7,0.5,0.015625,,1,0.15625,,,,,
20,7,0.7,0.0,,1,0.0,,,,,
20,7,0.9,0.015625,,1,0.09375,,,,,
20,8,0.1,0.8359375,,1,1.0,,,,,
20,8,0.3,0.4765625,,1,0.9453125,,,,,
20,8,0.5,0.0,,1,0.015625,,,,,
20,8,0.7,0.015625,,1,0.3984375,,,,,
20,8,0.9,0.0078125,,1,0.0625,,,,,
20,9,0.1,0.7109375,,1,0.9921875,,,,,
20,9,0.3,0.0078125,,1,0.09375,,,,,
20,9,0.5,0.0078125,,1,0.09375,,,,,
20,9,0.7,0.0,,1,0.015625,,,,,
20,9,0.9,0.0,,1,0.0078125,,,,,
20,10,0.1,0.65625,,1,0.9921875,,,,,
20,10,0.3,0.0,,1,0.0,,,,,
20,10,0.5,0.0,,1,0.1484375,,,,,
20,10,0.7,0.0,,1,0.0,,,,,
20,10,0.9,0.0,,1,0.0,,,,,
20,11,0.1,0.328125,,1,0.8828125,,,,,
20,11,0.3,0.0,,1,0.015625,,,,,
20,11,0.5,0.0,,1,0.0546875,,,,,
20,11,0.7,0.0,,1,0.0078125,,,,,
20,11,0.9,0.0,,1,0.0,,,,,
20,12,0.1,0.1875,,1,0.7421875,,,,,
20,12,0.3,0.0,,1,0.03125,,,,,
20,12,0.5,0.0,,1,0.0,,,,,
20,12,0.7,0.0,,1,0.0,,,,,
20,12,0.9,0.0,,1,0.0,,,,,
20,13,0.1,0.34375,,1,0.9296875,,,,,
20,13,0.3,0.0,,1,0.0,,,,,
20,13,0.5,0.0,,1,0.0,,,,,
20,13,0.7,0.0,,1,0.0,,,,,
20,13,0.9,0.0,,1,0.0,,,,,
20,14,0.1,0.59375,,1,0.96875,,,,,
20,14,0.3,0.0,,1,0.0,,,,,
20,14,0.5,0.0,,1,0.0,,,,,
20,14,0.7,0.0,,1,0.0,,,,,
20,14,0.9,0.0,,1,0.0078125,,,,,
20,15,0.1,0.625,,1,0.953125,,,,,
20,15,0.3,0.0,,1,0.0,,,,,
20,15,0.5,0.0,,1,0.0,,,,,
20,15,0.7,0.0,,1,0.0,,,,,
20,15,0.9,0.0,,1,0.0,,,,,
20,16,0.1,0.4296875,,1,0.984375,,,,,
20,16,0.3,0.0,,1,0.0390625,,,,,
20,16,0.5,0.0,,1,0.0,,,,,
20,16,0.7,0.0,,1,0.0,,,,,
